1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,20885.00,-27.00,-92.00,-1473.00,-1908.00,3548.00,310.00,15.00,3223.00,-11907.00,4271.00,34280.00,-5807.00,1521.00,4286.00
1978:Q3,-15209.00,11.00,258.00,-795.00,3216.00,-6836.00,-19.00,-31.00,-6786.00,-19928.00,801.00,19945.00,-11882.00,13812.00,-1930.00
1978:Q4,7326.00,-36.00,-437.00,-2824.00,-14501.00,-278.00,-12621.00,-55.00,12398.00,30272.00,-1780.00,2780.00,-5870.00,12545.00,-6675.00
1979:Q1,24326.00,-51.00,331.00,-1296.00,14445.00,-7971.00,1289.00,-52.00,-9207.00,-25758.00,582.00,49896.00,-5853.00,1263.00,4590.00
1979:Q2,15352.00,-44.00,-257.00,-513.00,84.00,1242.00,-1416.00,-29.00,2687.00,-6830.00,7062.00,26587.00,-11979.00,7997.00,3982.00
1979:Q3,-4654.00,-20.00,5231.00,-2769.00,-5060.00,-6084.00,422.00,-11.00,-6494.00,-12474.00,1711.00,35362.00,-20552.00,22445.00,-1893.00
1979:Q4,6261.00,-35.00,-1925.00,814.00,-20487.00,14078.00,1024.00,12.00,13042.00,33016.00,-1912.00,-9958.00,-7330.00,13080.00,-5750.00
1980:Q1,5921.00,-45.00,2857.00,-293.00,12646.00,-9813.00,-1182.00,16.00,-8647.00,-28807.00,-105.00,44071.00,-14590.00,9855.00,4735.00
1980:Q2,-5844.00,-31.00,1603.00,-3669.00,-2485.00,2855.00,-498.00,5.00,3347.00,-10020.00,10334.00,11667.00,-16097.00,12103.00,3994.00
1980:Q3,-44471.00,-54.00,-4064.00,-2383.00,-1437.00,-8287.00,-1150.00,7.00,-7144.00,-9807.00,1278.00,-4468.00,-15249.00,17305.00,-2056.00
1980:Q4,-9346.00,-47.00,2807.00,-1651.00,-10695.00,16451.00,1738.00,11.00,14702.00,25729.00,-4106.00,-38824.00,990.00,4668.00,-5658.00
1981:Q1,-4055.00,-62.00,2862.00,-683.00,28052.00,-9282.00,-3923.00,11.00,-5370.00,-20020.00,-1367.00,10151.00,-13707.00,8507.00,5200.00
1981:Q2,-19656.00,-55.00,-2249.00,1178.00,-2150.00,9528.00,9320.00,6.00,202.00,-9377.00,11179.00,-17329.00,-10381.00,6085.00,4296.00
1981:Q3,-47497.00,-47.00,-3164.00,-1509.00,-6502.00,-10845.00,-3724.00,3.00,-7124.00,-17356.00,2297.00,4519.00,-14889.00,17419.00,-2530.00
1981:Q4,6474.00,-41.00,-1797.00,-4598.00,1751.00,14451.00,-1917.00,2.00,16366.00,33618.00,-4539.00,-33473.00,1102.00,4696.00,-5798.00
1982:Q1,7342.00,-51.00,4063.00,-5392.00,15025.00,-5852.00,-324.00,3.00,-5531.00,-19414.00,2344.00,15946.00,674.00,-6276.00,5602.00
1982:Q2,9864.00,-53.00,-870.00,-795.00,-10766.00,923.00,1462.00,6.00,-545.00,-2339.00,7250.00,17610.00,-1095.00,-3514.00,4609.00
