1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,1208808.00,1139201.00,13874.00,4319.00,51414.00,1208808.00,1030407.00,48565.00,34266.00,14299.00,946.00,61164.00,36141.00,22509.00,2436.00,4095.00,0.00,1101.00,6000.00,31585.00
1978:Q4,1237393.00,1163929.00,16903.00,4592.00,51969.00,1237393.00,1048359.00,53704.00,38182.00,15522.00,942.00,62912.00,38318.00,23660.00,2354.00,4458.00,0.00,1111.00,6735.00,33158.00
1979:Q1,1265973.00,1190277.00,17141.00,4706.00,53849.00,1265973.00,1070090.00,53027.00,36026.00,17001.00,935.00,65474.00,41562.00,24727.00,2747.00,6067.00,0.00,1121.00,6900.00,34885.00
1979:Q2,1274919.00,1195640.00,18859.00,4696.00,55724.00,1274919.00,1080983.00,52444.00,33981.00,18463.00,973.00,62093.00,44494.00,25677.00,2844.00,7743.00,0.00,1130.00,7100.00,33932.00
1979:Q3,1307219.00,1224193.00,21176.00,5099.00,56751.00,1307219.00,1102350.00,57541.00,37659.00,19882.00,997.00,62232.00,48747.00,26714.00,3055.00,10538.00,0.00,1140.00,7300.00,35352.00
1979:Q4,1327119.00,1244917.00,20536.00,5663.00,56003.00,1327119.00,1115960.00,61683.00,40414.00,21269.00,1007.00,60793.00,52085.00,27894.00,3458.00,11987.00,0.00,1149.00,7597.00,35591.00
1980:Q1,1354540.00,1274402.00,20207.00,5845.00,54086.00,1354540.00,1139722.00,60285.00,38748.00,21537.00,909.00,62596.00,55696.00,28830.00,3569.00,14140.00,0.00,1157.00,8000.00,35332.00
1980:Q2,1373045.00,1291143.00,20080.00,5943.00,55879.00,1373045.00,1158969.00,58764.00,36770.00,21994.00,758.00,58925.00,59302.00,29699.00,3556.00,16381.00,0.00,1166.00,8500.00,36327.00
1980:Q3,1407456.00,1319252.00,23436.00,6084.00,58684.00,1407456.00,1189371.00,60322.00,37399.00,22923.00,988.00,57595.00,63617.00,30520.00,3559.00,19364.00,0.00,1174.00,9000.00,35563.00
1980:Q4,1470070.00,1376829.00,28429.00,6400.00,58412.00,1470070.00,1237365.00,69253.00,45022.00,24231.00,797.00,58826.00,67263.00,31827.00,3684.00,21201.00,0.00,1182.00,9369.00,36566.00
