1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,1456601.00,0.00,72456.00,147681.00,0.00,105163.00,69458.00,1523.00,26068.00,8114.00,31057.00,1118.00,29939.00,0.00,351283.00,14973.00,0.00,80133.00,252546.00,172464.00,80082.00,387796.00,13513.00,193679.00,0.00,189505.00,123346.00,51878.00,1016.00,8985.00,4280.00,2100.00,2074.00
1959:Q3,1464433.00,0.00,76025.00,149934.00,0.00,107662.00,70444.00,2011.00,27058.00,8149.00,31345.00,1031.00,30314.00,0.00,345399.00,14747.00,0.00,80994.00,257312.00,175078.00,82234.00,387354.00,13661.00,199894.00,0.00,195611.00,127007.00,53918.00,1320.00,8984.00,4382.00,2150.00,2133.00
1959:Q4,1495780.00,0.00,75571.00,152525.00,0.00,110430.00,71584.00,2267.00,28362.00,8217.00,30443.00,-358.00,30801.00,0.00,364442.00,15818.00,0.00,81956.00,262175.00,177142.00,85033.00,388619.00,13801.00,206702.00,0.00,202315.00,130099.00,57213.00,1424.00,9206.00,4373.00,2200.00,2187.00
1960:Q1,1489893.00,0.00,73783.00,154522.00,0.00,115607.00,75466.00,1630.00,28972.00,9539.00,30621.00,-721.00,31342.00,0.00,344090.00,15312.00,0.00,82895.00,267741.00,181482.00,86259.00,391395.00,13927.00,207626.00,0.00,203148.00,132580.00,55757.00,908.00,9090.00,4813.00,2240.00,2238.00
1960:Q2,1507185.00,0.00,72070.00,158156.00,0.00,116174.00,74183.00,1909.00,30072.00,10010.00,31213.00,-897.00,32110.00,0.00,350070.00,16097.00,0.00,83772.00,273388.00,184092.00,89296.00,392196.00,14049.00,214485.00,0.00,209907.00,135366.00,58622.00,1572.00,9401.00,4946.00,2290.00,2288.00
1960:Q3,1498916.00,0.00,75706.00,161281.00,0.00,115486.00,73602.00,1294.00,30503.00,10087.00,32280.00,-540.00,32820.00,0.00,325875.00,15640.00,0.00,84539.00,278717.00,188557.00,90160.00,395209.00,14183.00,219067.00,0.00,214461.00,138582.00,59590.00,1526.00,9679.00,5084.00,2270.00,2336.00
1960:Q4,1554710.00,0.00,77582.00,164461.00,0.00,114846.00,72194.00,1033.00,31007.00,10612.00,33623.00,48.00,33575.00,0.00,364553.00,17026.00,0.00,85184.00,284547.00,190682.00,93865.00,398556.00,14332.00,224550.00,0.00,219861.00,141378.00,61248.00,2122.00,9901.00,5212.00,2310.00,2379.00
1961:Q1,1607345.00,0.00,75534.00,169701.00,0.00,113862.00,72095.00,359.00,30769.00,10639.00,33818.00,-607.00,34425.00,0.00,403160.00,19440.00,0.00,85872.00,290230.00,192332.00,97898.00,401247.00,14481.00,225311.00,0.00,220584.00,143645.00,59339.00,1795.00,10472.00,5333.00,2310.00,2417.00
1961:Q2,1623220.00,0.00,73877.00,175096.00,0.00,113999.00,70684.00,224.00,31610.00,11481.00,35336.00,83.00,35253.00,0.00,403029.00,20003.00,0.00,86665.00,295620.00,194812.00,100808.00,404952.00,14643.00,231512.00,0.00,226654.00,146603.00,60597.00,2857.00,11139.00,5458.00,2410.00,2448.00
1961:Q3,1651966.00,0.00,76806.00,177733.00,0.00,114750.00,72300.00,244.00,31180.00,11026.00,35408.00,-602.00,36010.00,0.00,412628.00,21007.00,0.00,87588.00,301097.00,197674.00,103423.00,410146.00,14803.00,235787.00,0.00,230869.00,150179.00,61082.00,2725.00,11279.00,5604.00,2440.00,2478.00
1961:Q4,1704017.00,0.00,76992.00,182845.00,0.00,115882.00,71944.00,592.00,32506.00,10840.00,36094.00,-740.00,36834.00,0.00,443217.00,22875.00,0.00,88631.00,306733.00,199518.00,107215.00,415782.00,14966.00,242913.00,0.00,237901.00,154027.00,63435.00,2992.00,11700.00,5747.00,2500.00,2512.00
1962:Q1,1707720.00,0.00,75249.00,189204.00,0.00,116090.00,73081.00,567.00,31469.00,10973.00,36277.00,-1100.00,37377.00,0.00,433050.00,22981.00,0.00,89663.00,309318.00,200329.00,108989.00,420786.00,15102.00,244240.00,0.00,239141.00,156488.00,62038.00,3202.00,11525.00,5888.00,2550.00,2549.00
1962:Q2,1611490.00,0.00,73123.00,196080.00,0.00,115856.00,73108.00,410.00,31384.00,10954.00,37525.00,-450.00,37975.00,0.00,329789.00,18257.00,0.00,90651.00,310998.00,204680.00,106318.00,423966.00,15245.00,251339.00,0.00,246172.00,160237.00,65435.00,3084.00,11362.00,6054.00,2580.00,2587.00
1962:Q3,1649061.00,0.00,75484.00,201423.00,0.00,117167.00,74836.00,286.00,31852.00,10193.00,38068.00,-338.00,38406.00,0.00,348408.00,18796.00,0.00,91563.00,313957.00,204686.00,109271.00,428807.00,15388.00,257554.00,0.00,252328.00,164345.00,66626.00,3259.00,11883.00,6215.00,2600.00,2626.00
1962:Q4,1750731.00,0.00,77233.00,208828.00,0.00,116251.00,73718.00,235.00,32087.00,10211.00,38142.00,-864.00,39006.00,0.00,431230.00,20909.00,0.00,92398.00,317344.00,203613.00,113731.00,432851.00,15545.00,265049.00,0.00,259752.00,168307.00,69344.00,3450.00,12308.00,6343.00,2630.00,2667.00
1963:Q1,1789675.00,0.00,78438.00,215765.00,0.00,112897.00,70567.00,9.00,31665.00,10656.00,37860.00,-1464.00,39324.00,0.00,455641.00,22156.00,0.00,93355.00,322748.00,205627.00,117121.00,435115.00,15700.00,267959.00,0.00,262568.00,171352.00,68935.00,3160.00,12575.00,6546.00,2680.00,2711.00
