1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q3,39521174.00,12475749.00,27045425.00,3668832.00,2168812.00,298819.00,9074067.00,6117313.00,2956754.00,384323.00,1181588.00,27943.00,93488.00,1269412.00,11834895.00,5662792.00,33858382.00,22.96,33.55
1997:Q4,40087375.00,12688382.00,27398993.00,3730942.00,2160938.00,314609.00,9139255.00,6191067.00,2948188.00,387438.00,1165367.00,29946.00,97406.00,1268031.00,12053249.00,5763193.00,34324182.00,22.80,33.36
1998:Q1,41945824.00,12947864.00,28997960.00,3776127.00,2166802.00,337842.00,10390904.00,6992266.00,3398638.00,453851.00,1319674.00,35224.00,108355.00,1481534.00,12326286.00,5819282.00,36126542.00,24.77,35.83
1998:Q2,42633746.00,13194540.00,29439206.00,3764861.00,2237372.00,350182.00,10601279.00,7119830.00,3481448.00,471581.00,1315895.00,37848.00,113466.00,1542658.00,12485512.00,5961539.00,36672207.00,24.87,36.01
1998:Q3,41799634.00,13476276.00,28323358.00,3805970.00,2221930.00,387237.00,9230232.00,6193207.00,3037025.00,407912.00,1148771.00,34445.00,110212.00,1335685.00,12677990.00,6064970.00,35734664.00,22.08,32.59
1998:Q4,44325956.00,13777896.00,30548060.00,3938023.00,2179723.00,382066.00,11198198.00,7526071.00,3672127.00,507976.00,1402321.00,42960.00,125243.00,1593627.00,12850050.00,6203435.00,38122521.00,25.26,36.66
1999:Q1,45055182.00,14028532.00,31026650.00,3977913.00,2240241.00,379304.00,11444357.00,7641316.00,3803041.00,538667.00,1450313.00,46203.00,134484.00,1633374.00,12984835.00,6286458.00,38768723.00,25.40,36.89
1999:Q2,46417668.00,14290706.00,32126962.00,3912425.00,2288143.00,381753.00,12459507.00,8340309.00,4119199.00,598851.00,1543493.00,50782.00,147046.00,1779027.00,13085134.00,6433880.00,39983789.00,26.84,38.78
1999:Q3,46339323.00,14633454.00,31705869.00,3972441.00,2323858.00,402356.00,11770672.00,7855918.00,3914754.00,573139.00,1458368.00,48476.00,152008.00,1682763.00,13236542.00,6594416.00,39744907.00,25.40,37.12
1999:Q4,49648779.00,14967264.00,34681515.00,4122976.00,2397303.00,446425.00,14276770.00,9619135.00,4657635.00,728550.00,1644806.00,56909.00,170470.00,2056900.00,13438042.00,6761134.00,42887646.00,28.76,41.17
2000:Q1,51110116.00,15422166.00,35687950.00,4248827.00,2291907.00,505216.00,15045115.00,10026975.00,5018141.00,798449.00,1725355.00,60405.00,172392.00,2261540.00,13596885.00,6886618.00,44223498.00,29.44,42.16
2000:Q2,50818835.00,15889610.00,34929225.00,4238259.00,2268854.00,489586.00,14198243.00,9351262.00,4846981.00,768425.00,1697871.00,60060.00,168252.00,2152373.00,13734283.00,7034500.00,43784335.00,27.94,40.65
2000:Q3,51636631.00,16419111.00,35217520.00,4282946.00,2238928.00,509531.00,14098728.00,9226703.00,4872024.00,776482.00,1719206.00,60715.00,165583.00,2150038.00,14087387.00,7219798.00,44416834.00,27.30,40.03
2000:Q4,50877719.00,16915383.00,33962336.00,4454639.00,2257560.00,558446.00,12381138.00,7974639.00,4406499.00,700503.00,1608473.00,56576.00,157105.00,1883842.00,14310554.00,7358504.00,43519216.00,24.34,36.46
2001:Q1,50009332.00,17362913.00,32646419.00,4726477.00,2161592.00,547738.00,10731867.00,6848106.00,3883762.00,596510.00,1454403.00,49059.00,144993.00,1638797.00,14478746.00,7404205.00,42605128.00,21.46,32.87
2001:Q2,51448273.00,17747523.00,33700750.00,4742621.00,2132666.00,555238.00,11568703.00,7375086.00,4193617.00,644442.00,1541573.00,52733.00,145882.00,1808987.00,14701522.00,7605571.00,43842702.00,22.49,34.33
