1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,1047.00,3585.00,-7687.00,570.00,3909.00,1020.00,152.00,2300.00,-731.00,0.00,-4.00,-110.00,-117.00,-41.00,40.00,0.00,-21.00,3.00,-94.00,-359.00,-350.00
1973:Q1,-21826.00,-16420.00,22.00,123.00,-549.00,-2115.00,-328.00,-637.00,-375.00,2.00,27.00,15.00,-387.00,6.00,33.00,0.00,-38.00,9.00,-83.00,-360.00,-2887.00
1973:Q2,4215.00,-6320.00,9846.00,-900.00,-413.00,335.00,-17.00,-136.00,577.00,2.00,28.00,1.00,442.00,-52.00,64.00,0.00,-108.00,8.00,-93.00,-382.00,1667.00
1973:Q3,-5760.00,-11004.00,10605.00,1126.00,-3963.00,-1611.00,-44.00,-936.00,123.00,123.00,6.00,-132.00,-204.00,-120.00,48.00,0.00,-34.00,29.00,-73.00,-396.00,-913.00
1973:Q4,10922.00,-3613.00,9534.00,-833.00,3351.00,-963.00,396.00,-565.00,-168.00,123.00,19.00,-165.00,-124.00,-96.00,107.00,0.00,-90.00,36.00,-42.00,-393.00,3447.00
1974:Q1,-18058.00,-12110.00,-407.00,1101.00,114.00,1411.00,-416.00,2409.00,938.00,-122.00,86.00,-165.00,-711.00,-95.00,97.00,0.00,-108.00,41.00,-78.00,-464.00,-8167.00
1974:Q2,15812.00,6468.00,5160.00,753.00,-195.00,-1168.00,-61.00,-46.00,-1065.00,-124.00,91.00,-4.00,836.00,-83.00,89.00,0.00,-307.00,38.00,-62.00,-471.00,4795.00
1974:Q3,2345.00,-1170.00,188.00,1206.00,-3178.00,3664.00,-42.00,2334.00,1476.00,-56.00,69.00,135.00,564.00,-47.00,59.00,0.00,-343.00,51.00,-67.00,-467.00,1635.00
1974:Q4,11235.00,-61.00,5824.00,-2169.00,7723.00,-118.00,512.00,-682.00,113.00,112.00,79.00,325.00,-71.00,6.00,138.00,0.00,-211.00,90.00,-63.00,-466.00,37.00
1975:Q1,-6837.00,-16537.00,8281.00,-870.00,-199.00,1450.00,-283.00,1878.00,627.00,0.00,3.00,-216.00,-6.00,-16.00,54.00,0.00,-224.00,108.00,-44.00,-430.00,1038.00
1975:Q2,12365.00,-4065.00,15445.00,-1128.00,-1071.00,1082.00,-126.00,1648.00,-422.00,-2.00,-6.00,-49.00,695.00,-17.00,-139.00,0.00,-149.00,97.00,-52.00,-397.00,2102.00
1975:Q3,1981.00,-7969.00,14510.00,2291.00,-7575.00,3830.00,13.00,3762.00,936.00,63.00,-29.00,-243.00,-177.00,-38.00,-112.00,0.00,-5.00,112.00,-66.00,-386.00,-3106.00
1975:Q4,11726.00,-5625.00,13573.00,-645.00,5794.00,-3644.00,489.00,-2466.00,-351.00,64.00,-16.00,-820.00,241.00,-28.00,307.00,0.00,-79.00,107.00,-53.00,-1039.00,2273.00
1976:Q1,5529.00,-10064.00,10232.00,618.00,963.00,1403.00,-518.00,3888.00,580.00,36.00,8.00,-1540.00,-246.00,-37.00,76.00,0.00,-447.00,120.00,-111.00,-405.00,2376.00
1976:Q2,-5472.00,-12818.00,-5066.00,2989.00,935.00,1882.00,-27.00,1377.00,-53.00,39.00,12.00,-120.00,1421.00,-42.00,-87.00,0.00,-309.00,119.00,-41.00,-407.00,6606.00
1976:Q3,-5023.00,-6787.00,13011.00,-415.00,-6568.00,-659.00,-48.00,954.00,-236.00,-65.00,0.00,-1136.00,499.00,-72.00,7.00,0.00,-239.00,113.00,-21.00,-415.00,-3606.00
1976:Q4,4130.00,-14065.00,15416.00,-1582.00,3024.00,-4399.00,438.00,-3548.00,510.00,-58.00,18.00,-856.00,-546.00,-61.00,123.00,0.00,-16.00,103.00,-20.00,-487.00,5737.00
1977:Q1,-12827.00,-22047.00,5708.00,3977.00,-2192.00,1934.00,-486.00,3522.00,111.00,176.00,161.00,-730.00,204.00,-58.00,-133.00,0.00,-386.00,88.00,-88.00,-446.00,-208.00
