1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,51743.00,28065.00,18692.00,37442.00,18750.00,9373.00,18014.00,8641.00,21281.00,12200.00,-1834.00,-45.00,10960.00,0.00,0.00,0.00,2166.00,2130.00,35.00,1.00,230.00,1029799.00,194456.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,40883.00,24839.00,18683.00,38945.00,20262.00,6156.00,14456.00,8300.00,15707.00,7688.00,6408.00,1280.00,331.00,0.00,0.00,0.00,153.00,172.00,-19.00,0.00,184.00,1070682.00,194511.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,91323.00,35080.00,27285.00,50053.00,22768.00,7795.00,21287.00,13492.00,54628.00,18299.00,21475.00,62.00,14792.00,0.00,0.00,0.00,3956.00,3836.00,98.00,22.00,-2341.00,1162005.00,214992.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,108487.00,42264.00,20685.00,47934.00,27249.00,21579.00,30245.00,8666.00,61403.00,17715.00,18732.00,-128.00,25084.00,0.00,0.00,0.00,5349.00,5293.00,41.00,15.00,-529.00,1270492.00,237400.00
1952:Q1,17770.00,13427.00,4751.00,11629.00,6878.00,8676.00,9416.00,740.00,3719.00,-176.00,2458.00,-14.00,1497.00,0.00,-46.00,0.00,1626.00,1635.00,-7.00,-2.00,-1002.00,1288262.00,243603.00
1952:Q2,21943.00,8030.00,4740.00,11790.00,7050.00,3290.00,7476.00,4186.00,14480.00,7641.00,5979.00,-44.00,943.00,0.00,-39.00,0.00,-636.00,-631.00,-4.00,-1.00,69.00,1310206.00,246634.00
1952:Q3,13066.00,12979.00,4311.00,11422.00,7111.00,8668.00,11697.00,3029.00,-2096.00,-1771.00,-633.00,16.00,348.00,0.00,-56.00,0.00,2114.00,2132.00,-18.00,0.00,69.00,1323272.00,253244.00
1952:Q4,3693.00,12148.00,5348.00,12631.00,7283.00,6800.00,11238.00,4438.00,-6990.00,7341.00,-11119.00,-13.00,-3174.00,0.00,-25.00,0.00,-2165.00,-2151.00,-16.00,2.00,700.00,1326965.00,259116.00
1953:Q1,9948.00,12724.00,6012.00,13184.00,7172.00,6712.00,9026.00,2314.00,-3651.00,2080.00,-3458.00,-202.00,-2009.00,0.00,-63.00,0.00,881.00,873.00,6.00,2.00,-5.00,1336913.00,263286.00
1953:Q2,1939.00,9536.00,5826.00,13178.00,7351.00,3710.00,8203.00,4493.00,-7384.00,3429.00,-9622.00,-172.00,-962.00,0.00,-57.00,0.00,-206.00,-225.00,17.00,2.00,-7.00,1338852.00,267131.00
1953:Q3,14346.00,13074.00,5490.00,12961.00,7471.00,7584.00,10113.00,2529.00,2490.00,6808.00,-4770.00,-102.00,615.00,0.00,-61.00,0.00,-1209.00,-1225.00,17.00,-1.00,-10.00,1353198.00,267312.00
1953:Q4,20770.00,12546.00,5165.00,12701.00,7536.00,7381.00,10774.00,3393.00,8361.00,-4632.00,13742.00,307.00,-1004.00,0.00,-52.00,0.00,-117.00,-122.00,6.00,-1.00,-20.00,1373968.00,267572.00
1954:Q1,22551.00,10503.00,4828.00,12700.00,7872.00,5674.00,5546.00,-128.00,10156.00,-1739.00,11009.00,266.00,682.00,0.00,-61.00,0.00,1834.00,1809.00,26.00,-1.00,58.00,1396519.00,270296.00
1954:Q2,20916.00,6468.00,5104.00,13159.00,8056.00,1364.00,5735.00,4371.00,17122.00,760.00,15017.00,330.00,1106.00,0.00,-91.00,0.00,-2733.00,-2758.00,26.00,-1.00,58.00,1417435.00,270192.00
1954:Q3,36556.00,11928.00,5360.00,13388.00,8029.00,6568.00,9399.00,2831.00,26129.00,5700.00,18043.00,460.00,2012.00,0.00,-86.00,0.00,-1558.00,-1529.00,-29.00,1.00,57.00,1453991.00,272157.00
